Loan_ID,Customer_ID,Branch_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Tenure_Years,Loan_Status,Disbursed_Date
L03022,C03063,B01,Education Loan,597971,15.7,20,Closed,2022-07-20
L03023,C08832,B05,Education Loan,3709943,14.3,4,Active,2023-08-30
L03024,C03659,B01,Home Loan,3209341,14.8,9,Active,2022-02-01
L03025,C13391,B02,Personal Loan,4588578,15.3,6,Default,2022-08-13
L03026,C15986,B02,Car Loan,455520,9.7,15,Delayed,2022-02-25
L03027,C13598,B02,Education Loan,4692482,15.9,23,Delayed,2022-12-29
L03028,C02556,B02,Car Loan,2831010,9.7,17,Active,2023-03-09
L03029,C12086,B04,Home Loan,2917009,15.8,12,Delayed,2022-04-08
L03030,C18762,B01,Education Loan,3932825,14.3,12,Default,2023-12-15
L03031,C18508,B03,Education Loan,1766248,13.7,3,Active,2022-06-10
L03032,C03262,B03,Home Loan,2839295,9.5,24,Closed,2022-09-03
L03033,C04187,B03,Education Loan,4549838,10.1,4,Active,2024-02-20
L03034,C03515,B02,Car Loan,2859043,8.8,4,Default,2023-10-22
L03035,C05273,B05,Education Loan,4867513,-1.0,18,Active,2024-06-08
L03036,C18143,B02,Personal Loan,529803,15.3,15,Active,2022-09-13
L03037,C01593,B03,Home Loan,3812707,11.4,3,Closed,2022-02-14
L03038,C11177,B03,Education Loan,4835208,15.6,12,Active,2023-10-27
L03039,C18729,B03,Car Loan,2977217,12.5,13,Active,2023-04-25
L03040,C16502,B02,Home Loan,229880,7.6,30,Closed,2024-01-10
L03041,C09094,B04,Education Loan,998108,10.4,15,Active,2024-04-27
L03042,C10704,B02,Car Loan,1542828,10.4,26,Active,2022-02-15
L03043,C08034,B03,Personal Loan,3208721,11.1,5,Active,2023-12-05
L03044,C13345,B05,Car Loan,4111439,13.2,26,Active,2023-11-26
L03045,C19713,B03,Education Loan,1328846,9.8,21,Delayed,2023-04-09
L03046,C11658,B02,Car Loan,880297,11.0,14,Active,2023-12-27
L03047,C08555,B04,Car Loan,1056050,16.0,15,Default,2024-04-19
L03048,C18047,B02,Education Loan,1374856,10.6,7,Delayed,2024-03-14
L03049,C06697,B05,Car Loan,2122854,11.8,9,Delayed,2023-05-16
L03050,C01274,B05,Home Loan,3883791,11.9,26,Delayed,2022-06-25
L03051,C04174,B05,Car Loan,2119032,9.2,19,Active,2024-06-11
L03052,C13075,B05,Car Loan,4019039,11.7,19,Active,2024-01-31
L03053,C08798,B04,Education Loan,2638076,9.4,14,Active,2022-07-07
L03054,C17863,B04,Home Loan,3529000,8.4,18,Delayed,2022-08-02
L03055,C13714,B02,Home Loan,2047741,14.4,21,Active,2022-01-17
L03056,C11485,B02,Personal Loan,4176459,13.6,30,Active,2023-06-14
L03057,C18282,B05,Car Loan,382479,9.8,5,Closed,2022-08-23
L03058,C14887,B04,Home Loan,2023076,8.6,9,Active,2022-05-26
L03059,C03826,B04,Education Loan,2511731,15.9,7,Active,2023-12-12
L03060,C14183,B02,Home Loan,4074760,15.3,25,Closed,2023-10-21
L03061,C13847,B02,Education Loan,1644271,10.6,20,Active,2022-03-09
L03062,C18734,B02,Personal Loan,1195574,13.0,3,Delayed,2022-08-22
L03063,C00133,B04,Education Loan,3036614,9.9,16,Active,2023-12-02
L03064,C03243,B03,Education Loan,2737162,10.7,4,Active,2022-05-24
L03065,C16018,B03,Home Loan,2211765,12.1,27,Active,2023-07-09
L03066,C19248,B04,Personal Loan,2896488,9.8,28,Active,2023-03-01
L03067,C05603,B05,Personal Loan,2142471,8.2,20,Default,2023-02-24
L03068,C19189,B05,Car Loan,842996,13.6,18,Active,2022-06-11
L03069,C00785,B02,Car Loan,4308259,9.1,24,Active,2023-09-25
L03070,C14050,B03,Personal Loan,992963,10.1,16,Default,2022-01-19
L03071,C07885,B03,Education Loan,3757504,15.6,17,Delayed,2022-08-29
L03072,C12809,B05,Education Loan,1149842,12.6,22,Active,2023-04-07
L03073,C17851,B04,Personal Loan,4000542,9.4,6,Closed,2024-03-22
L03074,C11408,B05,Car Loan,1225204,9.9,30,Closed,2023-11-22
L03075,C04657,B02,Education Loan,3244906,9.4,20,Active,2022-12-12
L03076,C19070,B03,Home Loan,4847068,14.9,18,Active,2023-09-11
L03077,C05747,B03,Home Loan,4424258,14.3,17,Active,2022-01-15
L03078,C10036,B03,Home Loan,1244426,12.2,10,Closed,2022-09-05
L03079,C03356,B03,Education Loan,3231346,8.6,19,Active,2022-03-11
L03080,C17501,B05,Home Loan,1733266,13.8,16,Active,2022-08-29
L03081,C19633,B02,Car Loan,338410,14.7,19,Active,2022-02-16
L03082,C07652,B03,Home Loan,4836714,12.0,7,Active,2023-07-22
L03083,C08654,B01,Car Loan,2612226,9.3,28,Active,2023-06-03
L03084,C09293,B04,Car Loan,2299333,13.4,12,Delayed,2023-11-27
L03085,C18957,B01,Education Loan,2957828,10.3,28,Closed,2023-01-01
L03086,C12222,B04,Home Loan,1012717,15.3,11,Active,2024-02-28
L03087,C01838,B04,Home Loan,4478111,14.6,19,Delayed,2023-05-31
L03088,C15083,B05,Personal Loan,2248493,11.0,20,Closed,2022-10-31
L03089,C08973,B03,Home Loan,2675787,7.8,9,Active,2022-12-30
L03090,C01350,B04,Car Loan,4718490,15.6,20,Default,2022-12-01
L03091,C09487,B05,Home Loan,1334474,15.6,14,Active,2024-05-27
L03092,C01282,B02,Personal Loan,99999999,11.6,24,Active,2022-06-14
L03093,C05119,B02,Personal Loan,2362041,7.6,25,Active,2023-11-18
L03094,C14758,B03,Personal Loan,705841,13.6,22,Active,2024-03-19
L03095,C09947,B01,Personal Loan,2229370,9.9,8,Closed,2022-04-24
L03096,C08726,B02,Car Loan,2432222,13.9,27,Actve,2023-04-14
L03097,C07012,B03,Education Loan,2872961,7.7,19,Delayed,2023-09-25
L03098,C17592,B02,Education Loan,2898303,12.7,3,Default,2023-04-01
L03099,C04932,B01,Education Loan,1471031,15.5,6,Active,2022-06-25
L03100,C18862,B04,Education Loan,4506703,11.9,15,Active,2023-06-25
L03101,C07307,B02,Personal Loan,1783734,15.5,9,Active,2023-12-19
L03102,C07824,B01,Education Loan,3417467,13.6,5,Active,2023-10-14
L03103,C12704,B04,Personal Loan,4812243,12.6,12,Active,2024-04-12
L03104,C15308,B02,Education Loan,862146,14.7,8,Default,2023-11-22
L03105,C09364,B03,Car Loan,2544021,15.3,5,Closed,2023-01-11
L03106,C12738,B04,Personal Loan,702889,14.8,20,Delayed,2024-02-15
L03107,C08186,B02,Car Loan,4271252,15.3,18,Active,2023-04-30
L03108,C15522,B03,Car Loan,4153004,8.0,26,Active,2022-03-27
L03109,C17072,B04,Education Loan,4815296,9.3,4,Active,2024-05-05
L03110,C17309,B04,Home Loan,4560972,9.8,11,Actve,2024-05-07
L03111,C12899,B02,Car Loan,4087935,15.7,8,Default,2022-01-18
L03112,C05574,B02,Education Loan,1868820,15.3,4,Active,2022-04-21
L03113,C12740,B01,Car Loan,2098106,14.4,21,Active,2023-09-29
L03114,C12482,B01,Personal Loan,436363,14.3,11,Delayed,2022-11-04
L03115,C04447,B02,Education Loan,1151770,11.3,27,Delayed,2023-08-09
L03116,C17088,B05,Education Loan,2355585,8.3,8,Active,2022-07-30
L03117,C15002,B05,Education Loan,4060391,13.2,4,Active,2022-08-20
L03118,C08843,B05,Home Loan,4382736,11.9,15,Active,2022-10-03
L03119,C00738,B02,Personal Loan,3155449,10.9,11,Closed,2022-02-01
L03120,C14423,B03,Education Loan,1090607,10.6,3,Active,2022-04-27
L03121,C04273,B02,Personal Loan,1726880,8.9,24,Closed,2023-08-08
L03122,C15000,B02,Education Loan,1160183,10.9,8,Active,2022-01-19
L03123,C08257,B01,Car Loan,4081644,15.3,3,Active,2023-05-02
L03124,C14299,B05,Education Loan,4288308,9.2,12,Active,2023-06-20
L03125,C17784,B04,Education Loan,2962986,12.6,19,Delayed,2022-04-08
L03126,C01807,B04,Education Loan,1975241,12.8,21,Active,2022-08-01
L03127,C00561,B02,Education Loan,3948291,10.7,8,Default,2022-09-25
L03128,C13496,B05,Personal Loan,4128240,9.8,4,Delayed,2022-02-24
L03129,C08898,B02,Personal Loan,2634323,8.8,13,Active,2023-01-25
L03130,C13966,B01,Personal Loan,3912989,11.0,5,Active,2023-08-29
L03131,C02397,B03,Car Loan,3140061,11.8,27,Active,2023-10-18
L03132,C17379,B05,Education Loan,4602095,7.8,5,Active,2022-04-08
L03133,C04601,B04,Home Loan,1952382,15.4,10,Active,2023-08-01
L03134,C02662,B05,Education Loan,1063791,7.5,11,Active,2024-02-21
L03135,C08108,B03,Personal Loan,1860327,7.9,15,Closed,2022-07-13
L03136,C16369,B02,Car Loan,1205185,13.2,3,Closed,2024-04-16
L03137,C01970,B03,Personal Loan,3659207,14.2,22,Active,2023-05-02
L03138,C10010,B03,Home Loan,977569,11.4,30,Active,2023-03-30
L03139,C16590,B05,Personal Loan,2036078,10.2,7,Active,2024-02-17
L03140,C10339,B02,Education Loan,202361,13.6,11,Delayed,2022-02-18
L03141,C01659,B02,Home Loan,2146872,14.9,18,Closed,2024-04-25
L03142,C04030,B03,Car Loan,3566884,10.2,11,Active,2023-08-28
L03143,C11707,B03,Personal Loan,1630975,12.7,26,Closed,2022-01-16
L03144,C12994,B03,Personal Loan,4274102,15.1,18,Active,
L03145,C03266,B01,Education Loan,4023847,13.1,26,Active,2022-03-02
L03146,C07808,B05,Personal Loan,637159,8.2,16,Active,2022-01-12
L03147,C02131,B03,Personal Loan,4174034,8.9,20,Default,2023-11-05
L03148,C11483,B03,Education Loan,2310497,14.3,22,Active,2023-01-21
L03149,C09255,B03,Car Loan,954778,11.6,6,Active,2024-03-15
L03150,C13075,B05,Home Loan,3689035,9.5,15,Delayed,2022-03-24
L03151,C06909,B04,Education Loan,3494191,8.2,19,Delayed,2024-02-21
L03152,C19740,B03,Personal Loan,986150,8.2,6,Closed,2022-02-03
L03153,C00905,B03,Personal Loan,1378864,11.9,15,Active,2024-04-14
L03154,C04843,B02,Car Loan,2427853,13.8,18,Delayed,2024-05-20
L03155,C01299,B01,Education Loan,1370074,11.0,11,Active,2023-05-31
L03156,C17119,B05,Home Loan,2861073,10.9,28,Default,2023-09-04
L03157,C05984,B05,Home Loan,1114485,7.5,25,Closed,2023-12-09
L03158,C00606,B02,Education Loan,3811007,10.6,3,Active,2022-01-23
L03159,C15657,B02,Home Loan,1265959,9.1,14,Active,2022-05-14
L03160,C17856,B05,Home Loan,549616,10.9,5,Active,2022-04-22
L03161,C17028,B02,Education Loan,2098932,7.9,24,Delayed,2022-11-29
L03162,C04183,B04,Car Loan,1298254,12.2,29,Default,2022-07-12
L03163,C01328,B05,Education Loan,1605772,12.4,8,Closed,2022-12-06
L03164,C05837,B05,Home Loan,2175374,14.7,21,Default,2023-01-28
L03165,C03435,B04,Home Loan,1190968,8.9,28,Delayed,2022-06-02
L03166,C15343,B01,Personal Loan,662646,12.7,21,Active,2022-08-05
L03167,C06782,B05,Education Loan,3214100,14.7,12,Delayed,2023-06-02
L03168,C08955,B01,Car Loan,3310625,15.3,3,Active,2022-11-02
L03169,C13002,B02,Personal Loan,4015432,9.0,28,Active,2023-09-29
L03170,C08868,B01,Home Loan,2730561,12.8,12,Default,2022-11-03
L03171,C05704,B01,Car Loan,2277913,8.8,30,Active,2024-04-28
L03172,C04335,B01,Personal Loan,811780,9.2,18,Delayed,2024-02-27
L03173,C04438,B03,Home Loan,237116,13.6,19,Closed,2023-10-20
L03174,C02584,B01,Home Loan,543041,14.6,7,Active,2023-05-06
L03175,C11766,B02,Personal Loan,3074110,10.6,30,Active,2024-05-07
L03176,C04561,B01,Home Loan,2463091,14.3,5,Delayed,2022-09-17
L03177,C13629,B04,Home Loan,4179775,13.3,19,Active,2022-06-28
L03178,C07213,B04,Home Loan,4582240,10.6,23,Delayed,2023-01-20
L03179,C09750,B02,Personal Loan,3144650,9.9,13,Closed,2024-04-08
L03180,C16840,B05,Personal Loan,1199134,13.7,8,Closed,2023-07-04
L03181,C13370,B01,Education Loan,4257740,14.7,19,Active,2022-02-12
L03182,C05821,B01,Home Loan,4258135,8.3,27,Active,2022-01-08
L03183,C00083,B03,Personal Loan,255626,11.5,25,Active,2023-09-14
L03184,C14554,B05,Education Loan,3906759,9.8,17,Default,2023-01-26
L03185,C06558,B02,Education Loan,1272882,8.5,23,Active,2022-02-27
L03186,C01515,B05,Personal Loan,1429969,9.0,6,Active,2022-03-11
L03187,C12190,B02,Personal Loan,3326477,14.4,24,Default,2022-04-05
L03188,C16136,B04,Home Loan,2302289,13.3,18,Actve,2023-02-04
L03189,C13019,B02,Personal Loan,2004804,15.7,15,Active,2023-04-13
L03190,C16517,B03,Home Loan,2238048,10.3,13,Active,2023-09-24
L03191,C03889,B02,Car Loan,1147984,15.3,11,Default,2022-04-23
L03192,C17085,B02,Car Loan,1288796,8.2,26,Closed,2024-06-16
L03193,C06642,B03,Personal Loan,4592633,14.9,6,Active,2023-09-23
L03194,C10484,B02,Education Loan,4431430,7.9,27,Active,2024-03-19
L03195,C04528,B03,Education Loan,2137157,9.0,21,Active,2023-12-03
L03196,C12306,B03,Education Loan,4660392,14.3,7,Delayed,2022-12-13
L03197,C17971,B03,Home Loan,4252062,15.4,7,Delayed,2022-08-12
L03198,C19491,B01,Home Loan,4810738,12.5,13,Active,2022-01-01
L03199,C05922,B03,Home Loan,4835372,14.8,27,Active,2022-04-25
L03200,C08078,B04,Education Loan,3520292,8.5,6,Active,2024-01-17
L03201,C17640,B01,Personal Loan,330268,14.8,12,Active,2022-02-17
L03202,C06222,B02,Personal Loan,4187498,9.9,18,Active,2022-08-14
L03203,C17673,B01,Education Loan,4749807,15.5,13,Active,2022-12-27
L03204,C10788,B02,Car Loan,4993867,11.1,23,Active,2023-06-29
L03205,C10515,B05,Car Loan,3657526,14.1,16,Active,2022-11-19
L03206,C18722,B01,Personal Loan,4971371,13.4,29,Default,2022-09-23
L03207,C17417,B02,Car Loan,3928531,7.6,15,Delayed,2022-03-10
L03208,C18364,B01,Home Loan,1567511,9.3,26,Active,2023-03-31
L03209,C01534,B05,Education Loan,1089352,12.3,21,Default,2023-08-18
L03210,C02271,B03,Education Loan,2993429,9.4,14,Closed,2022-08-10
L03211,C02524,B01,Car Loan,1047306,14.2,10,Active,2022-11-30
L03212,C10705,B02,Home Loan,3424159,14.5,24,Default,2024-02-13
L03213,C08135,B04,Car Loan,2471705,7.7,13,Active,2022-06-07
L03214,C04396,B04,Car Loan,2804629,12.6,26,Closed,2024-04-06
L03215,C13836,B04,Car Loan,933076,15.9,16,Active,2022-05-25
L03216,C04505,B03,Education Loan,1761664,12.0,19,Closed,2024-06-08
L03217,C19411,B03,Personal Loan,3641755,14.7,21,Active,2022-09-12
L03218,C07149,B05,Education Loan,3463649,8.4,15,Active,2023-06-10
L03219,C09338,B02,Home Loan,4532787,13.7,18,Closed,2023-11-08
L03220,C01173,B05,Home Loan,4092621,9.3,21,Default,2022-04-02
L03221,C00148,B05,Car Loan,99999999,9.9,29,Delayed,2023-10-19
L03222,C03207,B05,Home Loan,1268347,11.7,8,Delayed,2022-07-30
L03223,C03631,B04,Personal Loan,1655767,15.5,10,Delayed,2023-05-31
L03224,C01888,B02,Home Loan,2664429,13.3,11,Delayed,2022-12-20
L03225,C08761,B04,Home Loan,2681716,15.3,13,Default,2022-08-06
L03226,C14046,B03,Home Loan,2547968,13.8,3,Active,2023-10-18
L03227,C13800,B05,Car Loan,1109639,13.9,19,Active,2023-09-26
L03228,C16008,B05,Car Loan,1335051,-1.0,30,Active,2022-05-04
L03229,C11731,B01,Car Loan,1814555,10.3,19,Closed,2022-03-20
L03230,C02792,B04,Car Loan,4709457,14.2,12,Delayed,2023-01-05
L03231,C17523,B04,Home Loan,1527479,14.7,3,Delayed,2022-07-21
L03232,C16897,B04,Home Loan,2934849,13.8,10,Default,2022-10-13
L03233,C05312,B05,Education Loan,2677144,13.3,15,Delayed,2022-06-23
L03234,C17253,B01,Home Loan,2123394,9.1,24,Active,2024-05-10
L03235,C10800,B05,Car Loan,1469567,15.6,14,Active,2022-01-20
L03236,C07713,B01,Home Loan,2678405,9.9,3,Active,2023-08-06
L03237,C02886,B01,Car Loan,286539,11.0,17,Default,2023-11-16
L03238,C18687,B04,Personal Loan,4677725,8.1,7,Delayed,2022-09-24
L03239,C12905,B05,Personal Loan,1473728,7.7,16,Delayed,2022-10-28
L03240,C08748,B05,Education Loan,3969638,8.9,6,Active,2022-08-26
L03241,C15248,B01,Home Loan,848560,12.8,26,Delayed,2023-05-24
L03242,C15489,B05,Personal Loan,4014010,10.0,20,Delayed,2024-05-09
L03243,C10269,B04,Personal Loan,389296,15.0,25,Default,2024-03-03
L03244,C04328,B03,Home Loan,2171112,7.7,18,Closed,2023-08-04
L03245,C08963,B04,Home Loan,2466274,9.2,16,Closed,2022-07-09
L03246,C12198,B02,Personal Loan,4788052,8.2,30,Delayed,2023-07-07
L03247,C03718,B03,Personal Loan,3278207,8.4,23,Active,2023-01-24
L03248,C02422,B02,Home Loan,3284086,9.5,4,Closed,2022-04-19
L03249,C18682,B02,Home Loan,4544511,14.9,19,Active,2022-12-01
L03250,C11641,B04,Home Loan,4406449,14.8,28,Active,2022-08-16
L03251,C12124,B02,Education Loan,1189201,10.3,25,Active,2023-04-04
L03252,C08810,B04,Home Loan,2101357,8.1,12,Delayed,2022-03-12
L03253,C16304,B02,Education Loan,564384,13.3,30,Active,2023-08-20
L03254,C07399,B05,Home Loan,3804708,13.4,15,Active,2022-07-13
L03255,C00486,B01,Education Loan,3695017,15.4,7,Active,2024-01-30
L03256,C15347,B02,Personal Loan,411535,15.3,11,Active,2022-02-06
L03257,C05027,B02,Education Loan,2683629,9.7,14,Delayed,2023-11-20
L03258,C15213,B03,Car Loan,4319578,15.0,27,Delayed,2024-06-13
L03259,C09648,B03,Personal Loan,4591712,12.0,24,Closed,2023-02-12
L03260,C07180,B01,Car Loan,1815490,15.3,19,Active,2022-02-14
L03261,C10725,B03,Home Loan,2440090,13.2,6,Active,2023-06-23
L03262,C08780,B03,Personal Loan,1712514,11.4,8,Default,2022-12-13
L03263,C08100,B03,Home Loan,4365785,12.4,27,Active,2024-04-03
L03264,C05438,B03,Car Loan,1609193,9.5,7,Delayed,2023-01-11
L03265,C06746,B04,Home Loan,512217,12.3,16,Delayed,2022-07-02
L03266,C06649,B04,Personal Loan,4074092,9.8,27,Active,2023-05-28
L03267,C09008,B01,Education Loan,4971285,11.3,5,Default,2022-04-20
L03268,C19440,B04,Home Loan,963687,10.0,21,Closed,2022-03-11
L03269,C07320,B05,Education Loan,2178602,11.3,22,Active,2022-04-04
L03270,C12460,B03,Car Loan,3869741,14.8,16,Delayed,2022-12-09
L03271,C00801,B02,Home Loan,4361874,12.3,25,Active,2023-12-26
L03272,C00068,B03,Education Loan,378138,7.9,18,Active,2023-05-08
L03273,C13855,B01,Home Loan,375316,13.4,19,Active,2023-06-11
L03274,C13349,B03,Personal Loan,4647165,13.1,27,Active,2022-09-15
L03275,C15426,B01,Home Loan,1099630,8.3,24,Active,2022-05-24
L03276,C11186,B02,Home Loan,429551,10.2,10,Active,2024-05-11
L03277,C06225,B05,Education Loan,3022815,9.7,26,Active,2022-06-11
L03278,C01991,B05,Car Loan,1653928,11.4,11,Active,2023-05-22
L03279,C19319,B03,Car Loan,273014,10.7,23,Closed,2023-02-16
L03280,C03669,B05,Education Loan,2403934,14.5,10,Active,2022-08-19
L03281,C19739,B02,Education Loan,2884564,10.8,29,Default,2023-04-07
L03282,C05463,B02,Home Loan,3273981,8.5,15,Closed,2022-12-07
L03283,C11372,B05,Education Loan,1500105,9.9,27,Default,2024-04-02
L03284,C01861,B04,Car Loan,4935753,8.7,30,Active,2024-06-18
L03285,C15882,B03,Education Loan,2744887,10.3,6,Active,2023-02-26
L03286,C08050,B02,Car Loan,564677,14.7,30,Active,2023-12-02
L03287,C10911,B04,Personal Loan,3793952,12.0,27,Default,2022-06-21
L03288,C02610,B05,Education Loan,99999999,10.5,17,Active,2022-08-10
L03289,C05222,B02,Home Loan,3208504,15.1,23,Active,
L03290,C08098,B04,Home Loan,3446308,11.4,26,Active,2023-10-28
L03291,C01401,B02,Home Loan,3776483,13.7,22,Delayed,2023-07-24
L03292,C14773,B02,Car Loan,1029472,9.2,17,Delayed,
L03293,C06889,B02,Education Loan,1866481,10.6,30,Active,2024-06-18
L03294,C14705,B05,Education Loan,4861084,11.8,6,Delayed,2022-07-09
L03295,C03708,B02,Personal Loan,3639583,11.9,14,Active,2022-01-20
L03296,C00671,B03,Car Loan,376970,14.3,6,Active,2022-04-08
L03297,C18446,B05,Personal Loan,2777609,12.4,12,Delayed,2023-05-23
L03298,C04421,B03,Education Loan,3914069,15.1,14,Active,2023-02-04
L03299,C19425,B01,Personal Loan,2639718,15.3,18,Delayed,2022-02-06
L03300,C13917,B05,Personal Loan,3789606,11.2,13,Delayed,2024-03-01
L03301,C10635,B01,Car Loan,3205632,13.3,20,Delayed,2022-02-26
L03302,C12675,B05,Education Loan,4124908,14.2,5,Closed,2022-03-20
L03303,C11264,B02,Personal Loan,2618177,10.6,28,Closed,2022-10-07
L03304,C07521,B04,Personal Loan,4820343,9.9,9,Closed,2022-06-22
L03305,C18610,B04,Education Loan,2342466,15.0,16,Active,2023-10-07
L03306,C01209,B02,Personal Loan,3397266,12.5,17,Closed,2022-11-13
L03307,C14950,B02,Home Loan,1717053,9.1,23,Closed,2023-08-06
L03308,C12356,B01,Personal Loan,4002348,12.4,10,Active,2022-11-11
L03309,C03240,B02,Home Loan,3087997,9.4,18,Default,2024-02-02
L03310,C13296,B01,Home Loan,774719,11.4,4,Default,2024-04-27
L03311,C19040,B01,Home Loan,1622319,13.3,12,Default,2023-03-11
L03312,C05850,B03,Home Loan,3053087,14.6,11,Delayed,2022-05-25
L03313,C11428,B05,Education Loan,201947,10.9,12,Delayed,2024-04-01
L03314,C07598,B02,Home Loan,4660375,8.3,4,Active,2022-09-05
L03315,C00414,B04,Personal Loan,500067,14.1,21,Delayed,2022-06-21
L03316,C01136,B02,Education Loan,704769,13.1,17,Default,2024-02-10
L03317,C03925,B04,Personal Loan,4421124,12.8,14,Active,2022-06-19
L03318,C12692,B03,Home Loan,1137262,10.1,21,Active,2023-10-10
L03319,C15937,B04,Home Loan,4262458,7.9,24,Closed,2022-02-02
L03320,C01566,B04,Car Loan,1840053,12.6,5,Active,2022-08-03
L03321,C02556,B05,Car Loan,4796051,14.1,14,Active,2022-10-04
L03322,C17201,B03,Education Loan,1635434,10.1,23,Active,2022-03-05
L03323,C17026,B02,Home Loan,2345584,13.3,8,Active,2022-11-04
L03324,C10645,B01,Education Loan,4461394,8.6,25,Active,2022-09-25
L03325,C15727,B04,Personal Loan,1501954,13.7,16,Closed,2022-11-14
L03326,C04268,B02,Car Loan,1524114,14.8,10,Default,2022-09-08
L03327,C00706,B01,Car Loan,4993610,10.8,3,Active,2023-06-17
L03328,C18159,B03,Personal Loan,923114,8.7,12,Active,2023-03-08
L03329,C06621,B05,Education Loan,3119947,11.6,23,Active,2022-12-04
L03330,C07137,B02,Car Loan,2016481,12.5,29,Active,2024-05-29
L03331,C10138,B03,Personal Loan,4558881,8.5,19,Active,2023-03-01
L03332,C12140,B03,Personal Loan,2759637,9.2,26,Active,2023-04-17
L03333,C01521,B04,Home Loan,1915051,8.0,3,Delayed,2024-03-12
L03334,C11727,B05,Education Loan,1839815,14.7,20,Active,2024-01-20
L03335,C11593,B03,Home Loan,3908388,10.7,29,Active,2022-12-23
L03336,C14868,B03,Home Loan,697193,12.2,7,Default,2022-05-26
L03337,C19606,B03,Home Loan,99999999,13.4,16,Active,2023-04-18
L03338,C14334,B04,Car Loan,654132,9.7,13,Active,2023-02-13
L03339,C12003,B04,Home Loan,3358416,14.0,22,Delayed,2022-06-30
L03340,C17754,B02,Car Loan,1973755,8.9,4,Closed,2022-05-31
L03341,C09875,B02,Education Loan,1364924,15.9,13,Active,2022-06-26
L03342,C01087,B04,Home Loan,1451030,11.5,13,Active,2023-04-27
L03343,C17337,B03,Education Loan,4192573,11.7,16,Delayed,2023-10-09
L03344,C19364,B04,Car Loan,4403395,12.2,4,Active,2023-07-13
L03345,C19280,B01,Car Loan,2452801,10.0,25,Active,2023-01-21
L03346,C18288,B05,Home Loan,235636,11.4,26,Active,2022-01-31
L03347,C18024,B05,Home Loan,99999999,7.8,20,Delayed,2023-12-03
L03348,C13776,B05,Education Loan,763164,14.6,15,Active,2024-02-07
L03349,C00740,B01,Car Loan,2802901,15.5,11,Delayed,2022-01-10
L03350,C14953,B03,Education Loan,4420186,10.7,25,Delayed,2023-04-04
L03351,C01993,B04,Personal Loan,711009,14.7,27,Closed,2022-09-07
L03352,C02961,B02,Home Loan,1826694,13.0,7,Active,2023-12-14
L03353,C12310,B05,Car Loan,2299244,10.1,18,Default,2023-05-15
L03354,C18472,B01,Home Loan,1011381,9.4,16,Active,2022-09-08
L03355,C04534,B04,Car Loan,2018964,12.3,17,Closed,2023-11-28
L03356,C03325,B03,Car Loan,1956210,9.8,20,Active,2022-02-25
L03357,C10422,B03,Home Loan,4648359,13.3,6,Active,2022-03-06
L03358,C07084,B04,Personal Loan,503534,9.7,27,Closed,2022-04-21
L03359,C16771,B03,Car Loan,4217463,14.8,28,Active,2024-05-24
L03360,C03841,B01,Education Loan,4230764,14.9,5,Default,2022-06-07
L03361,C18770,B03,Car Loan,1722235,-1.0,4,Active,2022-06-09
L03362,C05238,B05,Education Loan,4156323,12.5,8,Active,2024-01-29
L03363,C06673,B01,Home Loan,3129345,10.6,18,Active,2023-10-26
L03364,C13414,B01,Personal Loan,4748304,15.0,21,Closed,2022-04-07
L03365,C16975,B04,Personal Loan,2318728,15.0,17,Closed,2023-08-25
L03366,C09623,B01,Home Loan,1488497,12.8,18,Delayed,2023-02-16
L03367,C10081,B05,Home Loan,3349760,8.5,19,Active,2023-06-02
L03368,C12841,B03,Car Loan,2289314,11.9,22,Active,2023-01-09
L03369,C13172,B04,Car Loan,2282059,13.4,28,Active,2022-06-30
L03370,C15689,B04,Education Loan,1139212,15.4,11,Closed,2024-04-18
L03371,C02509,B05,Education Loan,2522585,15.4,16,Default,2022-09-20
L03372,C19095,B05,Home Loan,3932182,14.1,19,Active,2022-11-30
L03373,C01268,B05,Personal Loan,4373227,7.6,17,Closed,2024-01-21
L03374,C04727,B04,Home Loan,4759381,11.0,5,Active,2022-04-03
L03375,C15609,B02,Education Loan,1323504,15.4,14,Active,2023-12-13
L03376,C05626,B02,Personal Loan,417721,10.7,13,Delayed,2023-12-10
L03377,C11969,B02,Car Loan,1744428,12.6,29,Active,2023-10-07
L03378,C03150,B05,Personal Loan,303558,14.6,20,Active,2022-06-15
L03379,C16478,B03,Home Loan,4711049,9.2,22,Active,2022-10-12
L03380,C06007,B01,Car Loan,2706878,9.2,6,Active,2022-08-19
L03381,C02316,B01,Personal Loan,99999999,15.4,30,Delayed,2022-03-05
L03382,C02211,B03,Personal Loan,3667719,14.6,12,Active,2023-08-19
L03383,C03438,B01,Home Loan,896007,11.2,24,Delayed,2023-07-05
L03384,C14644,B04,Personal Loan,4597117,15.3,3,Delayed,2022-04-16
L03385,C01260,B01,Home Loan,4638520,12.3,3,Active,2023-06-20
L03386,C11945,B04,Home Loan,1597912,9.4,18,Active,2022-05-23
L03387,C13003,B03,Home Loan,2998946,10.5,22,Active,2022-11-27
L03388,C06557,B04,Education Loan,2489111,14.4,24,Active,2023-12-23
L03389,C12312,B03,Personal Loan,1411764,12.2,23,Active,2022-10-25
L03390,C05867,B02,Home Loan,4169240,7.7,17,Active,2022-12-02
L03391,C08512,B01,Car Loan,3936166,11.8,13,Active,2023-01-01
